agent_id,agency_id,first_name,last_name,email,phone,license_number,hire_date,is_active,commission_rate
AGT-0001,AGY-0010,Joseph,Moody,ronaldstephens@example.net,6429102499,AG-299122,2019-06-28,False,0.0319
AGT-0002,AGY-0048,David,Barker,gbender@example.net,27169065940139,AG-428838,2011-04-25,True,0.0223
AGT-0003,AGY-0033,Barbara,Hines,thomaspearson@example.com,7963717565,AG-994141,2023-02-07,False,0.0412
AGT-0004,AGY-0012,Mia,Rivera,zroberts@example.net,2719545168,AG-171849,2011-04-11,False,0.0438
AGT-0005,AGY-0008,Robert,Lopez,cindy77@example.org,5484247710,AG-697347,2015-04-11,True,0.0298
AGT-0006,AGY-0040,Lance,Smith,hdavis@example.com,5279484677,AG-185965,2023-05-03,True,0.0368
AGT-0007,AGY-0017,Andrea,Reyes,michellehill@example.com,784804499727875,AG-314181,2023-02-03,False,0.0468
AGT-0008,AGY-0017,Stanley,Morris,tinaallen@example.com,2604576627,AG-515011,2017-01-17,False,0.0252
AGT-0009,AGY-0021,Wayne,Lawrence,sawyerscott@example.net,7028621745961,AG-888387,2016-09-23,False,0.0574
AGT-0010,AGY-0040,Stephanie,Sims,invalid email,4346316117,AG-690341,2010-03-18,False,0.0598
AGT-0011,AGY-0033,Rebecca,Williams,carternicholas@example.org,8865922219,AG-378082,2011-08-24,False,0.0253
AGT-0012,AGY-0016,Tyler,Aguilar,stevenking@example.com,1607548217594647,AG-487477,2017-10-30,False,0.0314
AGT-0013,AGY-0040,Yvonne,Castaneda,youngashley@example.net,74056409097439,AG-946305,2019-10-30,True,0.0462
AGT-0014,AGY-0043,Dana,Oliver,courtneyberger@example.net,7478095214,AG-208618,2010-03-06,True,0.0576
AGT-0015,AGY-0008,Gregory,Anderson,alyssa42@example.com,24561712368516,AG-212235,2013-01-05,True,0.0497
AGT-0016,AGY-0019,Amanda,Gibson,brenda51@example.net,9706985931,AG-734210,2013-06-27,True,0.0284
AGT-0017,AGY-0044,Debra,Wilson,shahkevin@example.com,8134826758,AG-765046,2017-09-09,False,0.0541
AGT-0018,AGY-0017,Nicole,Pena,rgilbert@example.org,0018536773515850,AG-987204,2021-05-03,False,0.022
AGT-0019,AGY-0003,James,Martinez,ndavis@example.net,159050532931839,AG-103717,2019-07-02,True,0.0333
AGT-0020,AGY-0011,Mark,Hernandez,ramireztracey@example.org,17422102053,AG-877236,2012-12-07,True,0.0377
AGT-0021,AGY-0008,Grant,Williams,vfox@example.org,97528917839084,AG-178898,2019-08-05,True,0.0578
AGT-0022,AGY-0024,Bruce,Mendoza,gsimmons@example.com,0017718159212499,AG-710805,2013-05-06,True,0.0421
AGT-0023,AGY-0003,Virginia,Schmidt,bwagner@example.org,0013187367365766,AG-423232,2019-08-22,True,0.0346
AGT-0024,AGY-0014,Ronald,Ortega,stephanie71@example.org,7163152809,AG-815198,2010-11-23,False,0.03
AGT-0025,AGY-0050,Robert,Russo,uparrish@example.org,79435198327315,AG-687080,2012-04-22,False,0.0554
AGT-0026,AGY-0016,Kathryn,Andrews,xbruce@example.net,14804940244550,AG-270395,2019-02-12,True,0.059
AGT-0027,AGY-0002,Ashley,Morales,joycebonilla@example.org,00138326675254599,AG-288073,2013-12-21,True,0.0495
AGT-0028,AGY-0043,Eric,Webster,craigjoseph@example.net,979676438156149,AG-870763,2017-06-14,True,0.0524
AGT-0029,AGY-0045,Brandon,Foster,smithkevin@example.org,001724345107622683,AG-213346,2015-12-26,True,0.0353
AGT-0030,AGY-0015,Randy,Harmon,esmith@example.com,0017694664160,AG-309267,2010-11-14,False,0.0527
AGT-0031,AGY-0020,Laurie,Montgomery,christopher13@example.com,0014683164535,AG-960394,2020-04-28,False,0.0518
AGT-0032,AGY-0002,William,Wilson,rebeccabailey@example.net,192391243292127,AG-792094,2015-02-08,False,0.0277
AGT-0033,AGY-0005,Erin,Macias,michelle52@example.com,3776449058,AG-910891,2017-05-13,True,0.0312
AGT-0034,AGY-0044,Steven,Johnson,marie11@example.net,19864798079359,AG-984642,2021-06-05,True,0.0414
AGT-0035,AGY-0017,Susan,Hayes,toni18@example.net,7037778892,AG-287241,2010-08-15,False,0.0432
AGT-0036,AGY-0007,Samantha,Hughes,erika05@example.org,818464492519254,AG-725550,2015-12-15,True,0.0374
AGT-0037,AGY-0039,Brooke,Hurley,angelica52@example.net,0019815685054235,AG-636265,2017-01-13,True,0.0246
AGT-0038,AGY-0017,Jeremy,Taylor,phillipskristin@example.net,001988205929622292,AG-146542,2022-12-07,False,0.0484
AGT-0039,AGY-0024,Robert,Rhodes,tarabishop@example.net,8388347359774,AG-552248,2010-01-14,False,0.0228
AGT-0040,AGY-0043,Tammy,Montoya,moniquewilliams@example.com,8813814124782,AG-989208,2017-05-28,False,0.025
AGT-0041,AGY-0043,Stacey,Walker,bwilkerson@example.com,2687536153,AG-528231,2016-09-26,True,0.033
AGT-0042,AGY-0013,Sarah,Combs,lacey20@example.com,82737901043289,AG-540869,2016-08-19,True,0.0466
AGT-0043,AGY-0040,Kimberly,Young,williamsrobert@example.net,8112798089324,AG-696750,2018-07-03,True,0.032
AGT-0044,AGY-0020,Christina,Allen,qlopez@example.org,651288888067065,AG-400850,2022-04-16,True,0.0284
AGT-0045,AGY-0030,Michael,Jones,jessicafuller@example.net,00195220585277221,AG-563246,2023-01-04,False,0.0377
AGT-0046,AGY-0048,Kelly,Williams,ninastewart@example.com,868874034505415,AG-277934,2014-10-17,False,0.0464
AGT-0047,AGY-0006,Julia,Kline,lmorgan@example.com,0016757841616928,AG-958179,2016-05-13,False,0.0581
AGT-0048,AGY-0015,Curtis,Murphy,kirk96@example.org,0017754705964016,AG-945742,2015-04-09,True,0.028
AGT-0049,AGY-0016,Stephanie,Thomas,ejohnson@example.org,001455769092755719,AG-598216,2010-07-20,True,0.0445
AGT-0050,AGY-0027,Raymond,Banks,susanjohnson@example.org,38648144739473,AG-760356,2011-08-20,False,0.043
AGT-0051,AGY-0026,Melissa,Hayes,zosborn@example.net,451588442258313,AG-355836,2018-08-12,False,0.0259
AGT-0052,AGY-0050,Kristy,Johnson,tanner82@example.net,3144678669,AG-545798,2010-02-15,False,0.0288
AGT-0053,AGY-0004,Teresa,Day,howens@example.com,4896226801,AG-684482,2021-08-14,False,0.03
AGT-0054,AGY-0009,Fred,Morris,michaeleverett@example.com,3434842498,AG-940346,2012-09-21,False,0.0386
AGT-0055,AGY-0049,Brittany,Carpenter,donnale@example.net,690601094396907,AG-564071,2021-11-30,False,0.0445
AGT-0056,AGY-0036,Timothy,Ballard,eevans@example.net,4277677359,AG-567574,2021-04-28,True,0.0559
AGT-0057,AGY-0017,Michelle,Flores,theresa25@example.net,14153371473,AG-888295,2020-08-24,False,0.0299
AGT-0058,AGY-0041,Brent,Dougherty,kwright@example.com,0019532278774,AG-350867,2016-03-21,False,0.031
AGT-0059,AGY-0016,Christopher,Long,nlevy@example.net,4006479748016,AG-384913,2011-09-27,True,0.0334
AGT-0060,AGY-0009,Jessica,Gallagher,brandon09@example.net,6583416878,AG-258157,2022-02-11,False,0.0293
