buyer_id,first_name,last_name,email,phone,buyer_type,pre_approval_amount,registration_date
BYR-0001,Willie,Thompson,pughdavid@example.net,65622818276243,Individual,439789.5,2023-07-01
BYR-0002,Joshua,Hawkins,kevincollins@example.com,00171132789567538,Investor,1816145.77,2019-05-31
BYR-0003,Nicole,Cross,zacharyhansen@example.org,700234746492903,Individual,1282358.75,2024-03-06
BYR-0004,Michael,Riley,michellewagner@example.net,0012035216215975,Investor,831589.96,2021-06-16
BYR-0005,Jennifer,Johnson,hector91@example.org,17998274871048,Individual,1826786.62,2021-06-11
BYR-0006,Theresa,Brown,qmcdowell@example.com,46723188191262,Individual,2834234.83,2021-09-08
BYR-0007,Lisa,Cooper,michael24@example.com,31920865657433,Trust,1744607.82,2022-02-17
BYR-0008,Ronald,Smith,pmartinez@example.net,9612184710,Individual,2288940.55,2023-01-08
BYR-0009,Melanie,Torres,sarahswanson@example.org,001574932753171715,Corporation,1120702.42,2023-02-22
BYR-0010,Curtis,Montoya,smckay@example.org,70655510865471,Corporation,214045.09,2021-06-05
BYR-0011,Deborah,Richards,roberthart@example.org,00163186617414992,Investor,1789815.49,2024-05-05
BYR-0012,Kelly,Wallace,craigclark@example.org,562701791809193,Individual,975485.74,2019-02-17
BYR-0013,Lisa,Walter,dgutierrez@example.com,221888304317862,Individual,1540185.11,2020-12-22
BYR-0014,Lauren,Rodriguez,paulkent@example.org,5375673179,Individual,1526536.06,2021-09-20
BYR-0015,Lance,Donovan,benjamin75@example.com,3688590148452,Investor,1573199.77,2021-02-16
BYR-0016,Ryan,Anderson,jasonbender@example.net,00187866220614131,Corporation,592138.42,2023-08-08
BYR-0017,Sara,Martin,ecameron@example.com,8105630407,Investor,2676009.54,2022-11-18
BYR-0018,William,Hansen,jacobclark@example.org,1587350435714017,Individual,1635307.33,2020-06-29
BYR-0019,Natalie,Browning,rlewis@example.org,0018469929924401,Corporation,131027.19,2019-07-08
BYR-0020,Johnny,Blake,derekorr@example.net,17643093942,Individual,1526536.06,2022-05-10
BYR-0021,Thomas,Walker,carterrobert@example.com,2577387421750,Individual,1768358.98,2021-12-17
