agent_id,agency_id,first_name,last_name,email,phone,license_number,hire_date,is_active,commission_rate
AGT-0001,AGY-0010,Joseph,Moody,ronaldstephens@example.net,(642)910-2499,AG-299122,2019-06-28,no,0.0319
AGT-0002,AGY-0048,David,Barker,gbender@example.net,271.690.6594x0139,AG-428838,2011-04-25,True,0.0223
AGT-0003,AGY-0033,Barbara,Hines,thomaspearson@example.com,(796)371-7565,AG-994141,2023-02-07,no,0.0412
AGT-0004,AGY-0012,Mia,Rivera,zroberts@example.net,2719545168,AG-171849,2011-04-11,False,0.0438
AGT-0005,AGY-0008,Robert,Lopez,cindy77@example.org,548.424.7710,AG-697347,2015-04-11,yes,0.0298
AGT-0006,AGY-0040,Lance,Smith,hdavis@example.com,527-948-4677,AG-185965,2023-05-03,True,0.0368
AGT-0007,AGY-0017,Andrea,Reyes,michellehill@example.com,784-804-4997x27875,AG-314181,2023-02-03,False,0.0468
AGT-0008,AGY-0017,Stanley,Morris,tinaallen@example.com,260.457.6627,AG-515011,2017-01-17,0,0.0252
AGT-0009,AGY-0021,Wayne,Lawrence,sawyerscott@example.net,702.862.1745x961,AG-888387,2016-09-23,no,0.0574
AGT-0010,AGY-0040,Stephanie,Sims,cbrennanexample.net,434-631-6117,AG-690341,2010-03-18,no,0.0598
AGT-0011,AGY-0033,Rebecca,Williams,carternicholas@example.org,886.592.2219,AG-378082,2011-08-24,0,0.0253
AGT-0012,AGY-0016,Tyler,Aguilar,stevenking@example.com,+1-607-548-2175x94647,AG-487477,2017-10-30,False,0.0314
AGT-0013,AGY-0040,Yvonne,Castaneda,youngashley@example.net,740-564-0909x7439,AG-946305,2019-10-30,True,0.0462
AGT-0014,AGY-0043,Dana,Oliver,courtneyberger@example.net,7478095214,AG-208618,2010-03-06,True,0.0576
AGT-0015,AGY-0008,Gregory,Anderson,alyssa42@example.com,245.617.1236x8516,AG-212235,2013-01-05,True,0.0497
