buyer_id,first_name,last_name,email,phone,buyer_type,pre_approval_amount,registration_date
BYR-0001,Willie,Thompson,pughdavid@example.net,656-228-1827x6243,Individual,439789.5,2023-07-01
BYR-0002,Joshua,Hawkins,kevincollins@example.com,001-711-327-8956x7538,Investor,1816145.77,2019-05-31
BYR-0003,Nicole,Cross,zacharyhansen@example.org,(700)234-7464x92903,Individual,1282358.75,2024-03-06
BYR-0004,Michael,Riley,michellewagner@example.net,001-203-521-6215x975,Investor,831589.96,2021-06-16
BYR-0005,Jennifer,Johnson,hector91@example.org,+1-799-827-4871x048,Individual,1826786.62,2021-06-11
BYR-0006,Theresa,Brown,qmcdowell@example.com,(467)231-8819x1262,Individual,2834234.83,2021-09-08
BYR-0007,Lisa,Cooper,michael24@example.com,319-208-6565x7433,Trust,1744607.82,2022-02-17
BYR-0008,Ronald,Smith,pmartinez@example.net,9612184710,Individual,2288940.55,2023-01-08
BYR-0009,Melanie,Torres,sarahswanson@example.org,001-574-932-7531x71715,Corporation,1120702.42,2023-02-22
BYR-0010,Curtis,Montoya,smckay@example.org,706.555.1086x5471,Corporation,214045.09,2021-06-05
BYR-0011,Deborah,Richards,roberthart@example.org,001-631-866-1741x4992,Investor,1789815.49,2024-05-05
BYR-0012,Kelly,Wallace,craigclark@example.org,(562)701-7918x09193,Individual,975485.74,2019-02-17
BYR-0013,Lisa,Walter,dgutierrez@example.com,221.888.3043x17862,Individual,1540185.11,2020-12-22
BYR-0014,Lauren,Rodriguez,paulkent@example.org,537-567-3179,Individual,,2021-09-20
BYR-0015,Lance,Donovan,benjamin75@example.com,368.859.0148x452,Investor,,2021-02-16
BYR-0016,Ryan,Anderson,jasonbender@example.net,001-878-662-2061x4131,Corporation,592138.42,2023-08-08
BYR-0017,Sara,Martin,ecameron@example.com,810-563-0407,Investor,2676009.54,2022-11-18
BYR-0018,William,Hansen,jacobclark@example.org,+1-587-350-4357x14017,Individual,1635307.33,2020-06-29
BYR-0019,Natalie,Browning,rlewis@example.org,001-846-992-9924x401,Corporation,131027.19,2019-07-08
BYR-0020,Johnny,Blake,derekorr@example.net,+1-764-309-3942,Individual,,2022-05-10
BYR-0021,Thomas,Walker,carterrobert@example.com,(257)738-7421x750,Individual,1768358.98,2021-12-17
BYR-0022,Donna,Prince,omorton@example.com,(949)880-6393,Investor,2055697.7,2021-06-12
BYR-0023,Janet,Eaton,xsantos@example.org,(912)238-9970,Corporation,890419.57,2024-02-26
BYR-0024,Samantha,Carter,,583-471-1969x5941,Individual,1084886.27,2022-06-01
BYR-0025,Tiffany,Lin,brandonlewis@example.com,714-779-9459,Corporation,1390761.38,2024-03-20
BYR-0026,Veronica,Harper,dixonterri@example.org,610.670.0131x26073,Individual,,2021-08-30
BYR-0027,Jessica,Allen,christophermurphy@example.com,268.838.5909x15816,Individual,2541212.52,2022-09-08
BYR-0028,James,Smith,eellis@example.org,001-648-622-1467x045,Corporation,185830.71,2024-02-25
BYR-0029,Jose,Farmer,amanda77@example.net,+1-582-763-5316x2407,Trust,2451580.01,2020-03-19
BYR-0030,Richard,Johnson,ashley28@example.net,959.473.8683x45482,Investor,2602980.26,2023-04-11
BYR-0031,Calvin,Wood,amcdonald@example.org,001-598-700-1622x53530,Individual,1325754.92,2021-10-17
BYR-0032,Joseph,Fields,bethany24@example.org,(658)287-2265,Investor,2168790.92,2022-12-11
BYR-0033,Ruth,Bauer,swilliams@example.net,(451)558-9806,Individual,1190979.37,2021-12-25
BYR-0034,Melissa,Morrow,amy13@example.org,360-582-7568,Corporation,226721.55,2020-11-26
BYR-0035,Michael,Guzman,moralesjimmy@example.com,389.905.7012x7088,Individual,479496.11,2019-12-09
BYR-0036,Susan,Armstrong,chad92@example.org,+1-251-440-7015,Investor,,2022-09-30
BYR-0037,Kylie,Oconnor,jennifer10@example.org,978-572-2728,Individual,128815.83,2023-10-09
BYR-0038,Nicole,Sutton,dharrison@example.org,491.549.2027x3239,Trust,1796749.75,2023-01-29
BYR-0039,Brittany,Hickman,uschneider@example.net,2832861429,Individual,2556298.05,2024-04-24
BYR-0040,Amy,Blackburn,crosslance@example.net,(604)455-3530x2432,Individual,,2020-04-03
BYR-0041,Kristina,Silva,marshalltracey@example.com,555-338-3390x8877,Individual,1652300.45,2023-01-28
BYR-0042,Keith,Lopez,caitlin42@example.com,+1-774-630-7708x715,Individual,,2019-11-09
BYR-0043,Maureen,Rubio,alisonmcintosh@example.net,+1-500-786-1151x64520,Individual,,2019-08-13
BYR-0044,Ashley,Chen,wflowers@example.net,001-485-402-1109x0993,Investor,2246474.22,2020-11-27
BYR-0045,Samantha,Parker,josephkerr@example.net,7604943632,Individual,1539428.56,2019-04-30
BYR-0046,Pamela,Tran,elizabeth98@example.org,973.242.7762,Trust,2037305.72,2019-01-29
BYR-0047,Denise,Cruz,ksims@example.com,448.471.4870x34884,Investor,1162077.26,2021-09-11
BYR-0048,Joshua,Garcia,barrettsamantha@example.org,245.638.8899,Investor,,2024-03-31
BYR-0049,Rebecca,Ramos,dianachavez@example.com,647.267.2735x1071,Investor,1753809.22,2021-09-18
BYR-0050,Dawn,Larson,lukezamora@example.org,+1-324-348-6146x5212,Individual,2432176.3,2022-08-25
BYR-0051,Susan,Hines,denise32@example.com,001-427-886-9163x3655,Investor,1066174.98,2023-05-16
BYR-0052,Mary,Patrick,johnking@example.org,593-216-5370,Individual,1643937.05,2022-10-13
BYR-0053,Amanda,Yoder,lisa26@example.com,(660)701-5264x651,Individual,2481442.65,2019-01-24
BYR-0054,Andrew,Arroyo,justinibarra@example.net,815-204-4288x60207,Trust,2150648.72,2024-05-14
BYR-0055,Edward,Andrews,galvantiffany@example.com,(573)816-0740x809,Individual,1156173.85,2019-06-02
BYR-0056,Yvette,Reid,william05@example.com,856-662-8680x040,Individual,899421.51,2020-09-26
BYR-0057,Michael,Fernandez,mccoychristopher@example.org,(928)887-5362x2997,Individual,2058723.08,2021-08-06
BYR-0058,Savannah,Park,megan19@example.org,001-460-322-9961x3971,Corporation,,2023-03-25
BYR-0059,Erica,Reyes,guy18@example.org,544-473-8483,Investor,1294284.42,2019-03-06
BYR-0060,Ryan,Robinson,charlesjones@example.net,3646984816,Trust,,2019-01-18
BYR-0061,Keith,Baker,sheppardmary@example.net,247.478.2220x1127,Investor,241111.54,2021-02-18
BYR-0062,Cheyenne,Turner,cjordan@example.com,(597)448-1565x40374,Individual,1304981.13,2023-01-31
BYR-0063,Michael,Salazar,carrolldenise@example.com,(727)543-2618,Individual,512459.61,2024-06-11
BYR-0064,Julie,Powell,keithlucero@example.com,(861)982-0609x0748,Individual,101093.32,2019-01-12
BYR-0065,Madison,Arellano,lowens@example.org,260-690-7108x45789,Investor,2636925.64,2023-02-13
BYR-0066,Brandon,Phillips,bradytravis@example.com,001-568-573-6409x5914,Investor,,2019-03-12
BYR-0067,Jennifer,Kelley,johnathanpennington@example.com,776.882.2766,Individual,1234816.54,2021-05-19
BYR-0068,Shelia,Rosales,dcontreras@example.net,(302)585-3258,Individual,1590972.72,2019-07-20
BYR-0069,Dawn,Roberts,garciasean@example.com,4519770901,Individual,1549867.16,2019-03-23
BYR-0070,Amber,Sims,nicholskatelyn@example.net,582.529.7120x302,Individual,1681865.61,2024-06-25
BYR-0071,Joseph,Gardner,xramos@example.net,941.812.3047x7866,Investor,1839242.26,2023-05-14
BYR-0072,Elizabeth,Salazar,lorilane@example.com,906-482-8304x151,Individual,718717.97,2020-04-27
BYR-0073,Joseph,Ferguson,mooretodd@example.com,001-621-543-0669,Individual,1430454.01,2021-10-02
BYR-0074,Ashley,Edwards,stewartmichael@example.net,9296566283,Corporation,1182763.19,2019-09-15
BYR-0075,Austin,Cantrell,christopher89@example.org,(868)302-4242x8038,Corporation,1197110.68,2021-11-15
BYR-0076,Ryan,Stevens,bmerritt@example.org,(490)968-5486x71267,Individual,787140.33,2020-01-16
BYR-0077,Cynthia,Campbell,zwiggins@example.org,547.731.0138,Individual,,2020-02-13
BYR-0078,Edward,Jackson,jbarker@example.net,(771)867-5903x6878,Individual,,2022-08-12
BYR-0079,Anthony,Kelly,cunninghamjason@example.net,(425)898-4363,Investor,1283059.2,2020-06-28
BYR-0080,Brittany,Gilbert,,+1-293-794-4012x792,Corporation,937016.13,2020-10-03
BYR-0081,Kevin,Nguyen,jacobrodriguez@example.com,773.454.5715x3995,Individual,1521219.09,2021-12-09
BYR-0082,Erica,Rodriguez,,001-206-730-7228,Investor,2772718.6,2019-02-17
BYR-0083,Nicholas,Knight,darlenebass@example.org,001-803-754-5512x300,Individual,910871.29,2021-12-21
BYR-0084,David,Rodriguez,millerjames@example.org,398.528.2237x53343,Individual,,2021-09-02
BYR-0085,Emma,Jones,,(293)362-4598,Individual,604637.93,2021-06-14
BYR-0086,Michelle,Taylor,shepherdemily@example.com,575-416-1827x857,Corporation,1277934.37,2019-12-02
BYR-0087,Cindy,Fox,mariah84@example.com,001-238-212-0580x8064,Investor,2681310.71,2023-12-05
BYR-0088,Kristin,Barker,fsmith@example.org,+1-798-210-0634,Individual,,2024-01-31
BYR-0089,Jonathan,Riggs,matthewjackson@example.org,455-362-4407x58447,Investor,222440.69,2024-01-01
BYR-0090,Elizabeth,Jimenez,carriejohnson@example.net,282-611-9160x047,Individual,1214818.94,2019-11-22
BYR-0091,Annette,James,fhansen@example.com,591-950-4688,Investor,1465693.4,2023-07-14
BYR-0092,Paul,Chen,kevinramos@example.org,(939)318-0537x4973,Individual,2120495.05,2019-05-11
BYR-0093,Richard,Gonzales,scotthall@example.org,649-836-4877,Individual,2901132.57,2024-04-29
BYR-0094,Sean,Allen,karen61@example.net,(685)381-1373,Investor,1951321.11,2019-10-11
BYR-0095,Ann,Jones,michaelbaker@example.net,+1-830-390-9974x8336,Individual,539586.51,2020-08-09
BYR-0096,Heidi,Thompson,daniel55@example.org,(702)816-9345,Investor,1976365.55,2022-07-26
BYR-0097,Jose,Perry,ganderson@example.com,001-462-754-5229x9701,Individual,1619526.26,2023-06-14
BYR-0098,Tammy,Solis,kimberlyross@example.net,+1-427-562-3379x950,Individual,1897154.53,2020-12-22
BYR-0099,Luis,Powell,,+1-604-801-9387,Individual,,2021-10-28
BYR-0100,Russell,Acevedo,anna34@example.org,(533)960-7726,Individual,648610.86,2020-11-12
BYR-0101,John,Carson,heather23@example.com,+1-754-973-0742x4229,Individual,1516184.4,2021-10-13
BYR-0102,Steven,Morgan,,+1-312-724-1399x425,Individual,989789.94,2023-07-11
BYR-0103,Lindsey,Miller,mitchellbilly@example.org,(917)793-5201x237,Individual,1708316.61,2020-12-11
BYR-0104,Kylie,Dixon,douglas62@example.net,(403)450-4004,Individual,2574346.29,2023-04-29
BYR-0105,Jack,Valdez,freemanmichelle@example.org,4915259651,Individual,170022.71,2022-01-31
BYR-0106,Crystal,Ruiz,tinaallison@example.net,297.851.0783,Individual,680350.38,2019-07-23
BYR-0107,Dwayne,Clark,samuel19@example.com,(561)932-5318,Individual,,2021-09-27
BYR-0108,Lisa,Boyd,scottdebra@example.org,606.813.2204x0071,Corporation,306764.17,2020-01-24
BYR-0109,Mary,Jones,dhatfield@example.org,(863)329-2871x05260,Individual,1134435.62,2020-08-22
BYR-0110,Billy,Ruiz,robertrivera@example.com,833-427-7056,Individual,1694930.53,2023-04-17
BYR-0111,Valerie,Mendoza,bakertimothy@example.com,539-298-1466x3366,Individual,1220959.5,2022-09-26
BYR-0112,Michelle,Knight,valerie07@example.net,(293)821-5416x49185,Individual,,2021-05-23
BYR-0113,Ashley,Mccarty,alyssa06@example.org,990-883-1533x0793,Individual,1710264.9,2019-08-11
BYR-0114,Danielle,Kennedy,matthew01@example.com,296-869-9987,Individual,1686728.96,2022-02-16
BYR-0115,Eugene,Juarez,grahamjasmine@example.net,847.636.4047x580,Individual,1238539.92,2024-01-01
BYR-0116,John,Wilson,dominguezstephanie@example.org,001-823-474-3370x15732,Individual,1148230.42,2022-09-05
BYR-0117,Nicolas,Parker,,8626494521,Individual,207927.06,2023-04-12
BYR-0118,Michael,Davis,dillonlyons@example.org,837-770-4743x762,Investor,975233.06,2024-02-08
BYR-0119,Regina,Maldonado,stewartfrank@example.net,726-490-3000x84944,Individual,2249551.56,2022-12-15
BYR-0120,Eddie,Ramirez,lisa39@example.com,405-356-1788x459,Individual,2918682.73,2020-03-24
BYR-0121,Emily,Clark,,+1-239-341-8846x4311,Individual,685433.68,2019-01-14
BYR-0122,Katelyn,Hudson,pbarker@example.net,4914423743,Trust,1606939.46,2021-03-22
BYR-0123,James,Sheppard,rhammond@example.com,(914)850-6174,Trust,2073163.94,2022-06-18
BYR-0124,Patricia,Harris,anahart@example.net,428.931.0366x13698,Individual,,2022-11-06
BYR-0125,Zachary,Kennedy,wesley37@example.net,001-609-831-9342x20509,Individual,2872031.6,2023-01-09
BYR-0126,Brian,Hopkins,wanderson@example.com,(457)302-4300x2923,Investor,1101172.71,2019-08-25
BYR-0127,Kyle,Lee,michael94@example.net,+1-835-872-7763x471,Individual,290960.97,2022-02-16
BYR-0128,Jennifer,Weiss,hortonjason@example.com,(660)373-5938,Individual,884675.48,2022-11-20
BYR-0129,Ryan,Carpenter,joseph25@example.net,5929743106,Individual,1682353.58,2024-03-11
BYR-0130,Billy,Garcia,alexis80@example.org,7817515732,Individual,1330551.91,2019-01-13
BYR-0131,Jonathon,Levine,dillonalexis@example.org,369.376.7865x185,Individual,690429.18,2023-11-13
BYR-0132,Veronica,Sellers,byrdrobert@example.net,+1-940-753-3986x774,Individual,1407748.67,2019-12-23
BYR-0133,Stephanie,Smith,lewiskevin@example.org,961-662-5021,Individual,2525143.75,2023-01-17
BYR-0134,Patricia,Lin,ljones@example.org,2048717558,Trust,163435.05,2019-12-06
BYR-0135,Bryan,Wilson,youngwarren@example.net,368-343-8110x0535,Corporation,2694996.27,2021-07-13
BYR-0136,Brian,Huff,bbaldwin@example.com,(898)477-9588x530,Individual,1605381.69,2023-08-13
BYR-0137,Julie,Avila,kmoore@example.com,6845205260,Individual,2863608.54,2020-12-20
BYR-0138,Alexa,Jordan,castrolauren@example.net,+1-536-331-2588x683,Investor,461588.34,2019-10-28
BYR-0139,Jasmine,Graham,michaelmoran@example.org,+1-872-859-2444x270,Individual,,2019-10-25
BYR-0140,Elizabeth,Marsh,ericpoole@example.org,527-691-5662,Corporation,2190466.64,2021-12-06
BYR-0141,Marie,Sanchez,gutierrezsheila@example.net,436.836.5045x26182,Individual,1523169.36,2022-09-30
BYR-0142,Jeffery,Griffin,jesus48@example.com,(626)239-4691x7909,Investor,192826.46,2020-04-14
BYR-0143,Kevin,Thomas,,507.521.1622x8788,Individual,2355659.02,2022-10-06
BYR-0144,Julie,Ellis,wilsonjohn@example.net,(670)232-2656x1127,Individual,2253777.56,2023-08-13
BYR-0145,Nicholas,Stewart,sean18@example.com,+1-977-653-4697,Corporation,1515232.77,2019-09-17
BYR-0146,Chad,Evans,iayala@example.org,(833)775-5042x379,Investor,1045773.61,2022-02-08
BYR-0147,Brandi,Hunter,carrie09@example.org,4123175025,Individual,1351164.0,2022-06-06
BYR-0148,Andrew,Herman,stephaniecampbell@example.org,8147975573,Investor,,2023-01-13
BYR-0149,Brian,Wright,,001-688-998-4838x703,Investor,2545120.12,2020-12-14
BYR-0150,Kelly,Allen,skrause@example.com,9985613074,Individual,2659057.81,2024-06-18
BYR-0151,Shannon,Mullen,rachelsmith@example.org,615.346.9536,Individual,2696534.41,2020-02-16
BYR-0152,Jacob,Kim,rhondarandolph@example.org,001-636-455-6958,Corporation,121420.21,2021-10-22
BYR-0153,Tiffany,Torres,nthomas@example.com,527.658.2514,Individual,239021.1,2022-10-07
BYR-0154,Kimberly,Garcia,uharris@example.org,588-736-0505,Individual,1757485.48,2022-07-14
BYR-0155,Stephen,Hale,cgordon@example.net,(874)375-8487,Corporation,1080000.64,2019-09-14
BYR-0156,Charles,Burton,soliver@example.org,(455)888-4404,Individual,2524676.77,2024-06-11
BYR-0157,Brian,Le,kellyblack@example.net,617.360.2799x3516,Individual,682630.34,2022-08-05
BYR-0158,Michaela,Davis,eleonard@example.org,455.314.6329x14636,Individual,,2022-04-04
BYR-0159,Yvonne,Smith,judith78@example.org,(329)775-9879x6193,Individual,2023754.65,2021-05-20
BYR-0160,Robert,Davis,frogers@example.com,001-392-656-0375,Individual,1102877.62,2022-09-05
BYR-0161,Kaitlyn,Brown,crystal67@example.org,+1-285-526-6431x469,Individual,2986072.26,2023-02-26
BYR-0162,Roger,Chaney,justin43@example.com,+1-585-898-0712,Corporation,,2019-12-26
BYR-0163,Anthony,Johnston,melissa13@example.net,834.293.2290,Individual,1859418.77,2022-07-25
BYR-0164,Alice,Lawson,,+1-564-895-4638x221,Individual,1834698.14,2022-06-17
BYR-0165,Christopher,Carroll,browntiffany@example.org,001-549-599-0778x60399,Investor,162861.12,2022-03-01
BYR-0166,Thomas,Patterson,robertfranklin@example.com,9837214310,Individual,,2019-03-05
BYR-0167,Mary,Mcgee,thomas74@example.net,955.985.8259x823,Trust,903251.69,2019-03-22
BYR-0168,David,Ramirez,hernandezkayla@example.org,+1-428-389-6124,Investor,1383883.66,2022-06-11
BYR-0169,Shelley,Butler,melissa11@example.com,001-628-600-9567x4042,Investor,2346076.64,2020-06-15
BYR-0170,Denise,Garcia,saragibson@example.com,+1-951-631-2100x0820,Investor,1057718.27,2019-10-21
BYR-0171,Cynthia,Mcgee,austin76@example.org,676-951-7478,Individual,,2020-03-12
BYR-0172,Tonya,Davis,ehouse@example.org,(522)252-8913x513,Individual,1620087.99,2020-04-23
BYR-0173,Andrew,Barajas,griffithrebecca@example.org,(273)533-4688,Corporation,582679.35,2021-12-24
BYR-0174,Donna,Williamson,ashleyjackson@example.org,(555)371-0769x1549,Investor,,2021-09-17
BYR-0175,Patricia,Campbell,,+1-696-284-0526,Individual,1650394.97,2020-01-28
BYR-0176,Austin,Glover,,(929)450-3109x651,Individual,2842036.88,2024-02-13
BYR-0177,Mark,Chavez,jenniferparks@example.com,001-976-552-4034,Individual,1533993.14,2019-06-10
BYR-0178,Thomas,Herrera,omason@example.com,(205)325-1182,Individual,2247556.79,2021-06-06
BYR-0179,Alex,Ellis,sarah18@example.com,694.664.1197x713,Investor,2224996.22,2019-08-03
BYR-0180,Lindsay,Allison,,001-435-418-3472x0900,Individual,1135640.51,2022-09-07
BYR-0181,Eric,Johnson,fishervictoria@example.net,964.720.3722x540,Individual,,2019-02-19
BYR-0182,Leslie,Crawford,ramosnancy@example.net,787.479.9139x411,Investor,546963.96,2019-03-12
BYR-0183,Kenneth,Randolph,moorecheryl@example.com,605-699-1315x39792,Individual,2991895.35,2023-12-05
BYR-0184,Lindsey,Gonzalez,seanmcdonald@example.com,(956)314-8163,Investor,1722708.34,2023-11-07
BYR-0185,Daniel,Gonzalez,marissa44@example.net,8737010487,Investor,1071781.7,2023-11-10
BYR-0186,Michelle,Olson,paula35@example.com,325.825.1187,Investor,723833.92,2021-11-17
BYR-0187,Nathan,Wilkerson,juliamorris@example.org,8743331303,Investor,2319585.69,2023-03-09
BYR-0188,William,Lara,baileycindy@example.net,001-212-697-8958x79597,Individual,835722.77,2022-08-28
BYR-0189,Matthew,Hughes,urogers@example.com,+1-301-852-8331,Individual,2601634.2,2023-01-20
BYR-0190,Melinda,Bishop,longdavid@example.net,001-585-400-0074x65468,Corporation,,2021-07-20
BYR-0191,Troy,Peterson,quinnchristine@example.com,650.596.9168x5642,Corporation,2227970.82,2022-12-14
BYR-0192,Sylvia,Hayes,lori95@example.net,5968016217,Individual,814358.97,2020-12-09
BYR-0193,Jacob,Harris,michaeljones@example.net,8264608386,Individual,1154583.83,2022-09-24
BYR-0194,Walter,Mack,chorn@example.net,902.999.9676x22625,Individual,,2021-02-12
BYR-0195,Wendy,Wilcox,pfriedman@example.org,665-697-5003,Individual,1654976.67,2024-06-12
BYR-0196,Michael,Holden,harveytara@example.com,718.675.9602,Investor,,2023-03-17
BYR-0197,Ryan,Bautista,zsmith@example.org,750.275.5761,Individual,2074948.59,2022-06-25
BYR-0198,Tammy,Thomas,reginald88@example.org,890.404.5888x29917,Investor,2718904.97,2023-01-22
BYR-0199,Roberto,Scott,,295-677-0244,Individual,341852.72,2022-04-11
BYR-0200,Troy,Taylor,vmarshall@example.org,241.206.2769x046,Investor,2217858.76,2022-04-04
BYR-0201,Monica,Lee,robert77@example.com,239-791-0503,Individual,946979.2,2019-10-10
BYR-0202,Benjamin,Williams,chanson@example.net,7202178847,Individual,,2021-05-09
BYR-0203,Troy,Larson,jasonwilson@example.net,664.715.7093x0666,Individual,1686747.85,2022-12-09
BYR-0204,Jenna,Simpson,armstrongautumn@example.com,(695)969-2734,Individual,,2019-10-16
BYR-0205,Gary,Lane,richardmacias@example.org,545.955.4320x54670,Investor,697320.01,2022-04-27
BYR-0206,Aaron,Graham,christinestrong@example.net,(876)844-0315x639,Corporation,2150915.15,2020-05-23
BYR-0207,Brian,Carlson,,963.317.4250,Individual,,2021-12-21
BYR-0208,David,Jacobs,ericareyes@example.com,+1-473-627-1459x0114,Investor,838129.01,2020-09-03
BYR-0209,Tracy,Barnes,teresabean@example.net,490.407.3928x979,Individual,1623476.01,2023-01-29
BYR-0210,Katherine,Cohen,,3086741726,Investor,,2021-04-16
BYR-0211,Alexander,Cunningham,walterssarah@example.com,001-825-897-9454x374,Investor,462664.51,2019-11-12
BYR-0212,Steven,Barber,gallen@example.org,6489976875,Corporation,725599.46,2022-07-01
BYR-0213,John,Bradford,gonzalezjulia@example.com,001-341-616-1130x67512,Individual,197843.84,2019-09-21
BYR-0214,James,Day,qsmith@example.com,6139534529,Trust,2427987.95,2024-04-27
BYR-0215,Marcus,Robinson,wrightjennifer@example.org,602.992.7761x00260,Individual,2700093.72,2020-05-26
BYR-0216,Monica,Bridges,jill65@example.com,001-553-771-0874x244,Individual,161990.76,2022-04-29
BYR-0217,Tammy,Mann,sean69@example.com,828-382-1085x39316,Individual,1617493.74,2021-01-12
BYR-0218,Megan,Brown,harrisallison@example.org,(786)350-6801x391,Individual,1185169.36,2020-12-04
BYR-0219,Bryan,Brown,abbottshane@example.net,962-763-9702x458,Individual,293453.96,2021-08-07
BYR-0220,Amber,Watson,vmccoy@example.net,+1-927-318-5440x0192,Investor,173676.48,2020-08-23
BYR-0221,Laura,Davis,lori84@example.org,817-271-7385x292,Individual,2715730.47,2023-04-06
BYR-0222,Eileen,Russell,smithtaylor@example.net,(291)892-3645,Individual,,2024-03-16
BYR-0223,Christopher,Murphy,kirkmonique@example.com,+1-999-417-0062x82197,Individual,2083669.88,2022-03-22
BYR-0224,Kelsey,Parker,anthony93@example.com,+1-598-598-8352x92731,Individual,2326505.25,2019-02-04
BYR-0225,Marc,Fernandez,tlopez@example.org,001-885-481-0191x477,Individual,,2021-01-30
BYR-0226,Laurie,Cummings,amymccoy@example.com,308.632.8642,Individual,2528509.62,2023-12-13
BYR-0227,Holly,Lee,ogreer@example.net,917-356-3022x24394,Individual,2833001.26,2021-08-14
BYR-0228,Megan,Jimenez,,+1-362-295-1414,Investor,,2021-03-09
BYR-0229,Jacqueline,Bruce,mmartin@example.net,001-381-716-7007x9684,Individual,2795030.99,2023-09-06
BYR-0230,Jason,Cunningham,keith07@example.org,745-361-0925,Individual,583900.38,2019-06-01
BYR-0231,Justin,Wilson,wesleyhinton@example.org,5607855340,Investor,1411456.02,2019-09-23
BYR-0232,Nancy,Owens,andrew79@example.org,(868)748-1345x972,Investor,2191253.47,2023-11-20
BYR-0233,Jenny,Taylor,jeffery92@example.net,(444)893-1750x831,Investor,101660.66,2020-12-25
BYR-0234,Gary,Johnson,zhughes@example.net,(342)779-1925,Investor,2942317.48,2020-10-26
BYR-0235,Laura,Rogers,tinawise@example.org,455-372-0628x07386,Investor,1250900.65,2021-12-06
BYR-0236,Lawrence,Scott,zacharyjones@example.org,001-394-601-1467,Individual,,2019-08-18
BYR-0237,Megan,Gates,gina42@example.com,(501)452-9699x78193,Individual,1550048.52,2023-09-05
BYR-0238,Dana,Fowler,,631.800.1879x4018,Corporation,1507002.65,2019-03-16
BYR-0239,Alicia,Hines,laura64@example.net,+1-887-763-2052,Individual,1566011.97,2020-05-07
BYR-0240,Jennifer,Goodman,hmcdonald@example.org,8999564975,Investor,2168999.51,2020-08-15
BYR-0241,Corey,Wallace,coxgarrett@example.net,(720)841-5817,Investor,477459.2,2021-10-08
BYR-0242,Megan,Brown,morenojustin@example.com,(831)428-5062x43822,Individual,,2024-02-02
BYR-0243,Matthew,Clark,tammyholland@example.com,(654)790-4844x48353,Individual,1357615.66,2020-03-04
BYR-0244,Kevin,Walls,alexanderheather@example.org,4942117623,Individual,1631678.22,2019-05-14
BYR-0245,Carla,Brown,fherrera@example.com,681.857.9976x05200,Corporation,2938314.27,2023-12-18
BYR-0246,Christopher,Santiago,glynn@example.com,+1-342-555-1893,Investor,1143891.33,2022-01-16
BYR-0247,Darius,Glenn,rhonda78@example.net,637.206.6115,Corporation,1273354.78,2019-02-25
BYR-0248,David,Martinez,heathermiller@example.net,(947)909-1284x878,Investor,1729482.65,2020-03-16
BYR-0249,Matthew,Blair,angelajones@example.com,837-971-5411x0592,Individual,312598.59,2019-04-27
BYR-0250,Desiree,Figueroa,shahivan@example.org,+1-962-535-2767x41239,Individual,,2020-04-28
BYR-0251,Tamara,Vaughn,pbutler@example.org,+1-927-255-9467x267,Individual,1217045.77,2023-10-12
BYR-0252,Jennifer,Kirk,fjohnson@example.com,380.277.2954x524,Investor,,2023-08-28
BYR-0253,Patrick,Mason,connor81@example.com,934-323-9445x3242,Investor,,2020-09-11
BYR-0254,Lauren,Carr,ksmith@example.net,725.519.1106x17036,Investor,,2023-06-03
